DATE_TIME,POA
8/4/2023 12:10,689.0218533
8/4/2023 12:20,558.3212833
8/4/2023 12:30,534.77533
8/4/2023 12:40,577.7235933
8/4/2023 12:50,757.5222333
8/4/2023 13:00,639.9473933
8/4/2023 13:10,541.36551
8/4/2023 13:20,550.3378633
8/4/2023 13:30,550.40093
8/4/2023 13:40,227.720336
8/4/2023 13:50,656.9005667
8/4/2023 14:00,163.9468067
8/4/2023 14:10,529.6964467
8/4/2023 14:20,230.6387827
8/4/2023 14:30,239.1408393
8/4/2023 14:40,148.7724567
8/4/2023 14:50,301.671664
8/4/2023 15:00,424.9058433
8/4/2023 15:10,217.8652027
8/4/2023 15:20,577.1264167
8/4/2023 15:30,772.3276833
8/4/2023 15:40,253.3393733
8/4/2023 15:50,422.1548867
8/4/2023 16:00,250.02052
8/4/2023 16:10,392.034792
8/4/2023 16:20,136.44994
8/4/2023 16:30,145.8150133
8/4/2023 16:40,106.87692
8/4/2023 16:50,292.414526
8/4/2023 17:00,182.5247773
8/4/2023 17:10,250.5042433
8/4/2023 17:20,183.9478733
8/4/2023 17:30,174.232655
8/4/2023 17:40,646.11926
8/4/2023 17:50,571.8343147
8/4/2023 18:00,643.9536933
8/4/2023 18:10,72.22843133
8/4/2023 18:20,73.44041867
8/4/2023 18:30,60.63170133
8/4/2023 18:40,19.50288033
8/4/2023 18:50,42.013507
8/4/2023 19:00,43.642908
8/4/2023 19:10,42.426904
8/4/2023 19:20,28.153014
8/4/2023 19:30,28.56782933
8/4/2023 19:40,28.11830267
8/4/2023 19:50,17.77993633
8/4/2023 20:00,6.305610733
8/4/2023 20:10,3.044979833
8/4/2023 20:20,0.085534339
8/4/2023 20:30,0.009990369
8/4/2023 20:40,0.009990369
8/4/2023 20:50,0.002990369
8/4/2023 21:00,0.002990369
8/4/2023 21:10,0.002990369
8/4/2023 21:20,0.002990369
8/4/2023 21:30,0.002990369
8/4/2023 21:40,0.002990369
8/4/2023 21:50,0.002990369
8/4/2023 22:00,0.002990369
8/4/2023 22:10,0.002990369
8/4/2023 22:20,0.002990369
8/4/2023 22:30,0.002990369
8/4/2023 22:40,0.002990369
8/4/2023 22:50,0.002990369
8/4/2023 23:00,0.002990369
8/4/2023 23:10,0.002990369
8/4/2023 23:20,0.002990369
8/4/2023 23:30,0.002990369
8/4/2023 23:40,0.002990369
8/4/2023 23:50,0.002990369
